ID	CONCEPT	COUNTERPART	PROTOFORM	DERIVATION_CLASS	NOTE_PRESENT	PRODUCTION_STATUS	SOURCE_MATERIAL_STATUS	SOURCE_MATERIAL_PATHS	PRIORITY_TIER	PILOT_BATCH_CANDIDATE	MODEL_ENTRY_CANDIDATE	NEEDS_EXCEPTION_AGENT	REASON
1933	adder	nǣdre	*nḗdrōn	regular	no	format_test	manifest_backed	pilot/adder.md	P3_manifest_pilot_review_or_upgrade	no	no	no	Format-test manifest entry only; not part of the missing-production backlog.
1934	bake	bacan	*bákaną	regular	yes	none	source_material_available	dev_notes_slices/1934-bake-bacan.md, packets/1934-bake-bacan.md, research_memos/1934-bake-bacan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1936	ban	bannes	*bánnas	late_analogy	yes	manifest_pilot	manifest_backed	pilot/ban.md	P3_manifest_pilot_review_or_upgrade	no	no	maybe	Existing manifest-backed pilot report; review before any promotion to full.
1937	barrow	beorg	*bérgą	regular	no	none	source_material_available	dev_notes_slices/1937-barrow-beorg.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1938	bast	bæst	*bástą	regular	no	none	source_material_available	dev_notes_slices/1938-bast-bæst.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1939	bath	bæþ	*báθą	regular	no	none	source_material_available	dev_notes_slices/1939-bath-bæþ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1940	beard	beard	*bárdaz	regular	no	none	source_material_available	dev_notes_slices/1940-beard-beard.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1941	beaver	befer	*bébruz	regular	no	none	source_material_available	dev_notes_slices/1941-beaver-befer.md, dev_notes_slices/1994-dove-dūfe.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1942	beech	bōc	*bōkō	regular	yes	none	source_material_available	dev_notes_slices/1942-beech-bōc.md, packets/1942-beech-bōc.md, research_memos/1942-beech-bōc.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1943	begin	beġinnan	*bigínnaną	regular	yes	none	source_material_available	dev_notes_slices/1943-begin-beġinnan.md, packets/1943-begin-beġinnan.md, research_memos/1943-begin-beġinnan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1944	believe	ġelīefan	*galáubijaną	regular	no	none	source_material_available	dev_notes_slices/1944-believe-ġelīefan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1945	belly	bielġ	*bálgiz	regular	no	none	source_material_available	dev_notes_slices/1945-belly-bielġ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1946	berry	berġes	*bázjas	late_analogy	yes	manifest_pilot	manifest_backed	pilot/berry.md	P3_manifest_pilot_review_or_upgrade	no	no	maybe	Existing manifest-backed pilot report; review before any promotion to full.
1949	bier	bǣr	*bḗrō	regular	yes	none	source_material_available	dev_notes_slices/1949-bier-bǣr.md, packets/1949-bier-bǣr.md, research_memos/1949-bier-bǣr.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1950	bind	bindan	*bíndaną	regular	no	none	source_material_available	dev_notes_slices/1950-bind-bindan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1951	birth	byrd	*búrdiz	regular	yes	none	source_material_available	dev_notes_slices/1951-birth-byrd.md, packets/1951-birth-byrd.md, research_memos/1951-birth-byrd.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1952	blood	blōd	*blōdą	regular	no	none	source_material_available	dev_notes_slices/1952-blood-blōd.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1953	board	bord	*búrdą	regular	no	none	source_material_available	dev_notes_slices/1953-board-bord.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1954	bone	bān	*báiną	regular	yes	none	source_material_available	dev_notes_slices/1954-bone-bān.md, packets/1954-bone-bān.md, research_memos/1954-bone-bān.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1955	book	bōc	*bōkz	regular	no	none	source_material_available	dev_notes_slices/1955-book-bōc.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1956	bore	borian	*búrōjaną	regular	no	none	source_material_available	dev_notes_slices/1956-bore-borian.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1957	bosom	bōsm	*bōsmaz	regular	no	none	source_material_available	dev_notes_slices/1957-bosom-bōsm.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1958	both	bū	*bō	regular	yes	none	source_material_available	dev_notes_slices/1958-both-bū.md, packets/1958-both-bū.md, packets/1962-bow-bēag.md, research_memos/1958-both-bū.md	P2_regular_with_note_missing_production	yes	yes	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1959	bottom	botm	*búttmaz	early_analogy	yes	manifest_pilot	manifest_backed	pilot/bottom.md	P3_manifest_pilot_review_or_upgrade	no	no	no	Existing manifest-backed pilot report; review before any promotion to full.
1960	bough	bōg	*bōguz	regular	no	none	source_material_available	dev_notes_slices/1960-bough-bōg.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1961	bow	bīeġan	*báugijaną	regular	yes	none	source_material_available	dev_notes_slices/1961-bow-bīeġan.md, packets/1961-bow-bīeġan.md, research_memos/1961-bow-bīeġan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1962	bow	bēag	*báug	late_analogy	yes	none	source_material_available	dev_notes_slices/1962-bow-bēag.md, research_memos/1962-bow-bēag.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
1963	bow	boga	*búgô	regular	no	none	source_material_available	dev_notes_slices/1963-bow-boga.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1964	bower	būr	*būrą	regular	no	none	source_material_available	dev_notes_slices/1964-bower-būr.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1965	brand	brandes	*brándas	early_analogy	no	none	source_material_available	dev_notes_slices/1965-brand-brandes.md, packets/1965-brand-brandes.md, research_memos/1965-brand-brandes.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
1966	bread	brēad	*bráudą	regular	no	none	source_material_available	dev_notes_slices/1966-bread-brēad.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1967	break	brecan	*brékaną	regular	no	none	source_material_available	dev_notes_slices/1967-break-brecan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1968	breast	brēost	*bréustą	early_analogy	no	none	source_material_available	dev_notes_slices/1968-breast-brēost.md, packets/1968-breast-brēost.md, research_memos/1968-breast-brēost.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
1969	breeches	brēċ	*brōkiz	regular	yes	none	source_material_available	dev_notes_slices/1969-breeches-brēċ.md, research_memos/1969-breeches-brēċ.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1970	bride	brȳd	*brūdiz	regular	no	none	source_material_available	dev_notes_slices/1970-bride-brȳd.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1971	bring	bringan	*brínganą	regular	no	none	source_material_available	dev_notes_slices/1971-bring-bringan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1972	brook	brūcan	*brūkaną	regular	no	none	source_material_available	dev_notes_slices/1972-brook-brūcan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1973	buck	bucc	*búkkaz	unexplained_unmodelled	yes	manifest_pilot	manifest_backed	pilot/buck.md	P3_manifest_pilot_review_or_upgrade	no	no	maybe	Existing manifest-backed pilot report; review before any promotion to full.
1974	burst	berstan	*bréstaną	regular	no	none	source_material_available	dev_notes_slices/1974-burst-berstan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
