change_id	current_order	rule_name	display_name	card_file	has_chronology_card	has_foma_implementation_found	foma_file	foma_rule_name_or_definition	implementation_notes	has_literature_notes_found	literature_note_files	literature_status	has_direct_quotations	quotation_source_files	chronology_evidence_status	safe_computational_window	earlier_boundary_summary	later_boundary_summary	core_graph_edges	contextual_graph_edges	excluded_relation_types	expanded_pwgmc_supplementary_note	book_section_readiness	recommended_book_treatment	missing_material	drafting_priority	notes
SC014	14	NWGmcUnstressedAiMonophthongization	NWGmc Unstressed Ai Monophthongization	Germanic/docs/sound_changes/order_tests/chronology_cards/SC014-nwgmc-unstressed-ai-monophthongization.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcUnstressedAiMonophthongization [	Direct define found at line 2060 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md	substantial	no	none	negative_boundary_only	13-86 (earlier side runner-limited; later side boundary-limited)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	literature dossier; direct quotations; representative examples	defer	No historical first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.
SC015	15	NWGmcILowering	NWGmc I Lowering	Germanic/docs/sound_changes/order_tests/chronology_cards/SC015-nwgmc-i-lowering.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcILowering [	Direct define found at line 2047 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md	substantial	no	none	broad_far_constraint	13-35 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC036 OE Inter Stress Raising | historical_sound_change | order 36 | failures 1 | world	none	SC015<SC036 [broad_far]	runner_limited	no	needs_literature_dossier	grouped cluster discussion	literature dossier; direct quotations; human chronology framing	medium	No earlier historical break was found before bundled PWGmcChanges; later side is a one-sided historical boundary across SC036 and is broad/far rather than local.
SC016	16	OEWsPalatalGlide	OE Ws Palatal Glide	Germanic/docs/sound_changes/order_tests/chronology_cards/SC016-oe-ws-palatal-glide.md	yes	yes	Germanic/fsts/germanic.txt	define OEWsPalatalGlide [	Direct define found at line 2846 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/016-oe-ws-palatal-glide.dossier.md; Germanic/docs/sound_changes/literature_dossiers/016-017-palatal-glide-u-lowering.pair-report.md; Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md	partial	yes	docs/references/kaluza_historische_grammatik_englisch.txt; docs/references/bulbring_altenglisches_elementarbuch.txt; docs/references/luick_historische_grammatik.txt; docs/references/campbell_old_english_grammar.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt	strong_local_or_reciprocal	13-16 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC017 NWGmc U Lowering | historical_sound_change | order 17 | failures 1 | yoke	SC016<SC017 [reciprocal]	none	runner_limited	no	group_with_related_change	grouped cluster discussion	prose-ready corridor dossier drafting	medium	Literature now supports the `geoc / geong / geoguþ` phenomenon with direct quotations, but mostly as West Saxon palatal-glide/rising-diphthong behavior rather than a standard named sound law; the final corridor architecture report recommends a three-part corridor plus SC020 bridge and treats corridor book-dossier drafting as the next task.
SC017	17	NWGmcULowering	NWGmc U Lowering	Germanic/docs/sound_changes/order_tests/chronology_cards/SC017-nwgmc-u-lowering.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcULowering [	Direct define found at line 2012 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/017-nwgmc-u-lowering.dossier.md; Germanic/docs/sound_changes/literature_dossiers/016-017-palatal-glide-u-lowering.pair-report.md; Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md	substantial	yes	docs/references/kaluza_historische_grammatik_englisch.txt; docs/references/luick_historische_grammatik.txt; docs/references/campbell_old_english_grammar.txt; docs/references/fulk_comparative_grammar_early_germanic.vision.txt	strong_local_or_reciprocal	17-18	SC016 OE Ws Palatal Glide | historical_sound_change | order 16 | failures 1 | yoke	SC019 NWGmc Final Long O Raising | historical_sound_change | order 19 | failures 3 | nose; shovel; sorrow	SC016<SC017 [reciprocal]; SC017<SC019 [reciprocal]	none	none	no	group_with_related_change	grouped cluster discussion	prose-ready corridor dossier drafting	high	Substantial literature dossier now exists with direct quotations. SC017 remains the strongest literature-backed member of the early corridor, and the final corridor architecture report now recommends moving on to corridor book-dossier drafting.
SC018	18	NWGmcStressedMonosyllableORaising	NWGmc Stressed Monosyllable O Raising	Germanic/docs/sound_changes/order_tests/chronology_cards/SC018-nwgmc-stressed-monosyllable-o-raising.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcStressedMonosyllableORaising [	Direct define found at line 2103 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	negative_boundary_only	13-86 (earlier side runner-limited; later side boundary-limited)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	literature dossier; direct quotations; representative examples	defer	No historical first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.
SC019	19	NWGmcFinalLongORaising	NWGmc Final Long O Raising	Germanic/docs/sound_changes/order_tests/chronology_cards/SC019-nwgmc-final-long-o-raising.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcFinalLongORaising [	Direct define found at line 2118 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/019-nwgmc-final-long-o-raising.dossier.md; Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md	partial	yes	docs/references/luick_historische_grammatik.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt; docs/references/legacy/fulk_comparative_grammar_early_germanic.txt; docs/references/kroonen_etymological_dictionary_pgmc.vision.txt; docs/references/orel_handbook_germanic_etymology.vision.txt	mixed	18-19	SC017 NWGmc U Lowering | historical_sound_change | order 17 | failures 3 | nose; shovel; sorrow	SC020 PGmc Final Z Deletion | historical_sound_change | order 20 | failures 1 | rest	SC017<SC019 [reciprocal]; SC019<SC020 [reciprocal]	SC019<SC036 [broad_far]	none	no	group_with_related_change	grouped cluster discussion	prose-ready corridor dossier drafting	medium	Literature strongly supports the broader final unstressed `*-ō > *-u` phenomenon, but the exact CAPR stage label and the local SC017/SC019 and SC019/SC020 boundary wording remain formalized model structure; the final corridor architecture report now treats SC019 as the hinge before an SC020 bridge section.
SC020	20	PGmcFinalZDeletion	PGmc Final Z Deletion	Germanic/docs/sound_changes/order_tests/chronology_cards/SC020-pgmc-final-z-deletion.md	yes	yes	Germanic/fsts/germanic.txt	define PGmcFinalZDeletion [{*z} -> 0 || _ .#.];	Direct define found at line 1169 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/020-pgmc-final-z-deletion.dossier.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md	partial	yes	docs/references/campbell_old_english_grammar.txt; docs/references/hogg_vol1.txt; docs/references/crist_2001_conspiracy_in_historical_phonology.txt; docs/references/crist_2002_z_loss_west_germanic.txt; docs/references/kilday_2024_crists_law_smiths_law_wizen.txt	mixed	20-39	SC019 NWGmc Final Long O Raising | historical_sound_change | order 19 | failures 1 | rest	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 11 | beaver; bough; cud; field; flood	SC019<SC020 [reciprocal]; SC020<SC042; SC020<SC054	SC020<SC040 [broad_far]; SC020<SC041 [broad_far]	none	no	group_with_related_change	grouped cluster discussion	prose-ready corridor dossier drafting	high	Literature strongly supports the underlying WGmc loss of word-final `*z` in unstressed syllables before rhotacism, but the exact one-line CAPR implementation and its detailed local/broad adjacency map remain formalized model structure; the final corridor architecture report treats SC020 as a bridge section rather than as a standalone equal mini-chapter.
SC021	21	NWGmcUnstressedORaising	NWGmc Unstressed O Raising	Germanic/docs/sound_changes/order_tests/chronology_cards/SC021-nwgmc-unstressed-o-raising.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcUnstressedORaising [	Direct define found at line 2126 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	broad_far_constraint	13-39 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 1 | heaven	none	SC021<SC040 [broad_far]	runner_limited	no	needs_literature_dossier	grouped cluster discussion	literature dossier; direct quotations; human chronology framing	medium	No earlier historical break was found before bundled PWGmcChanges; later side is a one-sided historical boundary across SC040 and should be narrated broadly rather than locally.
SC022	22	NWGmcMnDissimilation	NWGmc Mn Dissimilation	Germanic/docs/sound_changes/order_tests/chronology_cards/SC022-nwgmc-mn-dissimilation.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcMnDissimilation [	Direct define found at line 2135 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	negative_boundary_only	13-86 (earlier side runner-limited; later side boundary-limited)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	literature dossier; direct quotations; representative examples	defer	No historical first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.
SC023	23	NWGmcNStemNLoss	NWGmc N Stem N Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC023-nwgmc-n-stem-n-loss.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcNStemNLoss [	Direct define found at line 2067 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	contextual_or_one_sided	13-46 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC047 OE Heavy Syllable Nasal Apocope | historical_sound_change | order 47 | failures 1 | do	none	SC023<SC047 [broad_far]; SC023<SC061 [contextual]; SC023<SC069 [broad_far]	runner_limited	no	needs_literature_dossier	grouped cluster discussion	literature dossier; direct quotations; human chronology framing	medium	No earlier historical break was found before bundled PWGmcChanges; later side is a one-sided historical boundary across SC047 and the `do` failure should be narrated as a no-output (`+?`) derivation rather than as a surface variant.
SC024	24	NWGmcLongELowering	NWGmc Long E Lowering	Germanic/docs/sound_changes/order_tests/chronology_cards/SC024-nwgmc-long-e-lowering.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcLongELowering [	Direct define found at line 2143 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	broad_far_constraint	13-55 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC056 OE Ws Palatal Diphthongization | historical_sound_change | order 56 | failures 2 | sheep; year	none	SC024<SC056 [broad_far]	runner_limited	no	needs_literature_dossier	grouped cluster discussion	literature dossier; direct quotations; human chronology framing	medium	No earlier historical break was found before bundled PWGmcChanges; later side is a one-sided historical boundary across SC056 and is broad/far rather than local.
SC025	25	NWGmcLongENasalRounding	NWGmc Long E Nasal Rounding	Germanic/docs/sound_changes/order_tests/chronology_cards/SC025-nwgmc-long-e-nasal-rounding.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcLongENasalRounding [	Direct define found at line 2153 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	partial	no	none	negative_boundary_only	13-86 (earlier side runner-limited; later side boundary-limited)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	literature dossier; direct quotations; representative examples	defer	No historical first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.
SC026	26	NWGmcNasalSpirantLengthening	NWGmc Nasal Spirant Lengthening	Germanic/docs/sound_changes/order_tests/chronology_cards/SC026-nwgmc-nasal-spirant-lengthening.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcNasalSpirantLengthening [	Direct define found at line 2715 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/026-027-nasal-spirant-corridor.dossier.md	substantial	no	none	strong_local_or_reciprocal	13-26 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC027 NWGmc Nasal Spirant Loss | historical_sound_change | order 27 | failures 3 | fist; goose; youth	SC026<SC027 [reciprocal]	none	runner_limited	no	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	No earlier historical break was found before bundled PWGmcChanges; later boundary reciprocates SC027 earlier around fist, goose, and youth.
SC027	27	NWGmcNasalSpirantLoss	NWGmc Nasal Spirant Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC027-nwgmc-nasal-spirant-loss.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcNasalSpirantLoss [	Direct define found at line 2732 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/026-027-nasal-spirant-corridor.dossier.md	substantial	no	none	strong_local_or_reciprocal	27-86 (later side boundary-limited)	SC026 NWGmc Nasal Spirant Lengthening | historical_sound_change | order 26 | failures 3 | fist; goose; youth	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	SC026<SC027 [reciprocal]	none	no_break_runner_boundary	no	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	Earlier boundary reciprocates SC026 later around fist, goose, and youth; later search reached SC087 with no real break.
SC028	28	NWGmcPreconsonantalXLoss	NWGmc Preconsonantal X Loss	Germanic/docs/sound_changes/order_tests/chronology_cards/SC028-nwgmc-preconsonantal-x-loss.md	yes	yes	Germanic/fsts/germanic.txt	define NWGmcPreconsonantalXLoss [	Direct define found at line 2747 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md	substantial	no	none	negative_boundary_only	13-86 (earlier side runner-limited; later side boundary-limited)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC087 OE R Metathesis | historical_sound_change (runner-boundary result) | order 86 | failures 0 | none	none	none	runner_limited; no_break_runner_boundary	no	defer	boundary/underdetermination note	literature dossier; direct quotations; representative examples	defer	No historical first break was found in either direction: earlier search is runner-limited by bundled PWGmcChanges and later search reached SC087 with no real break.
SC029	29	OEAwjGlideFormation	OE Awj Glide Formation	Germanic/docs/sound_changes/order_tests/chronology_cards/SC029-oe-awj-glide-formation.md	yes	yes	Germanic/fsts/germanic.txt	define OEAwjGlideFormation [	Direct define found at line 1808 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md	partial	no	none	strong_local_or_reciprocal	13-29 (earlier side runner-bounded)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 0 | none	SC030 OE Au Fronting | historical_sound_change | order 30 | failures 2 | hay; strew	SC029<SC030 [reciprocal]	none	runner_limited	no	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	No earlier historical break was found before bundled PWGmcChanges; later boundary reciprocates SC030 earlier around hay and strew.
SC030	30	OEAuFronting	OE Au Fronting	Germanic/docs/sound_changes/order_tests/chronology_cards/SC030-oe-au-fronting.md	yes	yes	Germanic/fsts/germanic.txt	define OEAuFronting [	Direct define found at line 1815 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md	partial	no	none	strong_local_or_reciprocal	30-31	SC029 OE Awj Glide Formation | historical_sound_change | order 29 | failures 2 | hay; strew	SC032 OE Diphthong Leveling | historical_sound_change | order 32 | failures 18 | believe; bow; bread; dream; flea	SC029<SC030 [reciprocal]; SC030<SC032 [reciprocal]	none	none	no	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	Later boundary reciprocates SC032 earlier, and the 18-row later failure set should be narrated as no-output (`+?`) derivations rather than as surface forms.
SC031	31	OEWWSimplification	OE WW Simplification	Germanic/docs/sound_changes/order_tests/chronology_cards/SC031-oe-ww-simplification.md	yes	yes	Germanic/fsts/germanic.txt	define OEWWSimplification [	Direct define found at line 1833 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	strong_local_or_reciprocal	14-33 (earlier side non-historical)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 2 | four; hay	SC034 OE Aw Long Diphthong | historical_sound_change | order 34 | failures 2 | dew; hew	SC031<SC034 [reciprocal]	none	runner_limited; supplementary_expanded_profile	yes	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	chronology card includes supplementary expanded-PWGmc note; Earlier computational break crosses bundled PWGmcChanges and is non-historical; later boundary reciprocates SC034 earlier around dew and hew.
SC032	32	OEDiphthongLeveling	OE Diphthong Leveling	Germanic/docs/sound_changes/order_tests/chronology_cards/SC032-oe-diphthong-leveling.md	yes	yes	Germanic/fsts/germanic.txt	define OEDiphthongLeveling [	Direct define found at line 1820 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	strong_local_or_reciprocal	31-39	SC030 OE Au Fronting | historical_sound_change | order 30 | failures 18 | believe; bow; bread; dream; flea	SC040 OE Med Unstressed U Lowering | historical_sound_change | order 40 | failures 1 | head	SC030<SC032 [reciprocal]; SC032<SC040	none	none	no	group_with_related_change	paired with reciprocal neighbour	literature dossier; direct quotations	high	Earlier boundary reciprocates SC030 later, and the 18-row earlier failure set should be narrated as no-output (`+?`) derivations rather than as surface forms.
SC033	33	OEEwLongDiphthong	OE Ew Long Diphthong	Germanic/docs/sound_changes/order_tests/chronology_cards/SC033-oe-ew-long-diphthong.md	yes	yes	Germanic/fsts/germanic.txt	define OEEwLongDiphthong [	Direct define found at line 1845 in Germanic/fsts/germanic.txt.	yes	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md	substantial	no	none	broad_far_constraint	14-43 (earlier side non-historical)	PWGmcChanges | blocked_by_runner_limitation | order 13 | failures 1 | four	SC044 OE Breaking | historical_sound_change | order 44 | failures 3 | chew; four; knee	none	SC033<SC044 [broad_far]	runner_limited; supplementary_expanded_profile	yes	needs_literature_dossier	grouped cluster discussion	literature dossier; direct quotations; human chronology framing	medium	chronology card includes supplementary expanded-PWGmc note; Earlier computational break crosses bundled PWGmcChanges and is non-historical; later boundary is historical but broad/far across SC044.
