sc_id	former_foma_identifier	canonical_foma_identifier	former_display_name	canonical_display_name	former_hist_stage	canonical_hist_stage	former_hist_scope	canonical_hist_scope	migration_status	migration_commit	notes
SC003	PGmcRhotacism	EAFRhotacism	Rhotacism	West Germanic rhotacism	wgmc	eaf	pan_wgmc	pan_wgmc	completed	d606d6dd	Former identifier PGmcRhotacism. Scope kept pan_wgmc; medial-*z* rhotacism scoped to non-final (order unchanged).
SC004	PWGmcAiMonophthongization	PWGmcAiMonophthongization	PWGmc Ai Monophthongization	PWGmc Ai Monophthongization	pnwgmc_pwgmc_transition	pnwgmc_pwgmc_transition	pan_wgmc	pan_wgmc	deferred		Conflates distinguishable developments; split decision pending (do not rename).
SC005	NWGmcAToUBeforeM	PNWGmcAToUBeforeM	NWGmc A To U Before M	Proto-Northwest Germanic A To U Before M	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	52f3fdd7	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC012	PWGmcLThVoicing	EAFLThVoicing	PWGmc L Th Voicing	Northern West Germanic *lþ*-voicing	pwgmc	eaf	pan_wgmc	north_wgmc	completed	2910f28a	Former identifier PWGmcLThVoicing. Confidence A->B; pan-PWGmc attribution must not survive (R/T pp.170-171).
SC014	NWGmcUnstressedAiMonophthongization	PNWGmcUnstressedAiMonophthongization	NWGmc Unstressed Ai Monophthongization	Proto-Northwest Germanic Unstressed Ai Monophthongization	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	83ecd998	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC015	NWGmcILowering	PNWGmcILowering	NWGmc I Lowering	Proto-Northwest Germanic I Lowering	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	3d5b8e16	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC016	OEWsPalatalGlide	OEWsPalatalGlide	OE Ws Palatal Glide	OE Ws Palatal Glide	oe_ws	oe_ws	west_saxon	west_saxon	not_required		OE West Saxon; early position is a documented FST dependency, not a stage claim.
SC017	NWGmcULowering	PNWGmcULowering	NWGmc U Lowering	Proto-Northwest Germanic U Lowering	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	7013010d	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC018	NWGmcStressedMonosyllableORaising	PNWGmcStressedMonosyllableORaising	NWGmc Stressed Monosyllable O Raising	Proto-Northwest Germanic Stressed Monosyllable O Raising	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	c94fb4a3	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC019	NWGmcFinalLongORaising	PNWGmcFinalLongORaising	NWGmc Final Long O Raising	Proto-Northwest Germanic Final Long O Raising	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	337d31b6	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC020	PGmcFinalZDeletion	EAFFinalZDeletion	PGmc Final Z Deletion	West Germanic final *z*-deletion	wgmc	eaf	pan_wgmc	pan_wgmc	completed	e71a5af3	Former identifier PGmcFinalZDeletion. Scope provisional: pan-WGmc vs narrower (Ingvaeonic) UNRESOLVED; not settled by this rename.
SC021	NWGmcUnstressedORaising		NWGmc Unstressed O Raising		nwgmc	retired	pan_nwgmc	retired	retired		SC021 is retired; former PNWGmcUnstressedORaising has no live canonical rule. Successors are SC071, SC099, and SC100.
SC022	NWGmcMnDissimilation	PNWGmcMnDissimilation	NWGmc Mn Dissimilation	Common Germanic Mn Dissimilation	nwgmc	pgmc	pan_nwgmc	pan_germanic	completed	10e55b8c	Foma identifier remains stable; Fulk 2018 p.121 §6.11 and Polomé 1967 pp.818-819 correct the historical scope from PNWGmc to Common Germanic.
SC023	NWGmcNStemNLoss	PNWGmcNStemNLoss	NWGmc N Stem N Loss	Proto-Germanic Word-Final N Loss	nwgmc	pgmc	pan_nwgmc	pan_germanic	completed	aeea523b	Foma identifier remains stable; Ringe 2017 pp.101-103 correct the historical stage from PNWGmc to (pre-)Proto-Germanic general word-final *-n loss (sc023-adjudication.md); {*o-n}-only environment is a citation-form proxy.
